baseline_id,recipient,flow_id,effect_pp,event_date,days_before_election,retained_fraction,realized_effect_pp,feasible,reason,chow,bradford,alexander,residual,recipient_margin_pp,tie_gain_pp,tie_reachable,max_gain_pp
pallas-2026-08-21,alexander,challenger,-3,2026-10-21,5,1,-3,True,,50.04995004995005,42.260739260739264,5.091908091908092,2.5974025974025974,-44.95804195804196,41.95804195804196,False,39.260739260739264
pallas-2026-08-21,bradford,challenger,0,2026-10-21,5,1,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-10.789210789210784,10.789210789210784,False,8.091908091908092
pallas-2026-08-21,alexander,challenger,0,2026-10-21,5,1,0,True,,50.04995004995005,39.260739260739264,8.091908091908092,2.5974025974025974,-41.95804195804196,41.95804195804196,False,39.260739260739264
pallas-2026-08-21,bradford,challenger,3,2026-10-21,5,1,3,True,,50.04995004995005,42.260739260739264,5.091908091908092,2.5974025974025974,-7.7892107892107845,10.789210789210784,False,8.091908091908092
pallas-2026-08-21,alexander,challenger,3,2026-10-21,5,1,3,True,,50.04995004995005,36.260739260739264,11.091908091908092,2.5974025974025974,-38.95804195804196,41.95804195804196,False,39.260739260739264
pallas-2026-08-21,bradford,challenger,6,2026-10-21,5,1,6,True,,50.04995004995005,45.260739260739264,2.091908091908092,2.5974025974025974,-4.7892107892107845,10.789210789210784,False,8.091908091908092
pallas-2026-08-21,alexander,challenger,6,2026-10-21,5,1,6,True,,50.04995004995005,33.260739260739264,14.091908091908092,2.5974025974025974,-35.95804195804196,41.95804195804196,False,39.260739260739264
pallas-2026-08-21,bradford,challenger,9,2026-10-21,5,1,9,False,Chris Alexander has too little support for this transfer.,,,,,,10.789210789210784,False,8.091908091908092
pallas-2026-08-21,alexander,challenger,9,2026-10-21,5,1,9,True,,50.04995004995005,30.260739260739264,17.091908091908092,2.5974025974025974,-32.95804195804196,41.95804195804196,False,39.260739260739264
pallas-2026-08-21,bradford,chow,-3,2026-10-21,5,0.5,-1.5,True,,51.54995004995005,37.760739260739264,8.091908091908092,2.5974025974025974,-13.789210789210784,5.394605394605392,True,50.04995004995005
